"ID","Customer_Age","Churn","CHI_Month0","CHI_0_1","Support_Cases_Month0","Support_Cases_0_1","SP_Month0","SP_0_1","Logins_0_1","Blog_Articles_0_1","Views_0_1","Days_Since_Last_Login_0_1","pred_prob","pred_class"
64,48,"No",39,-52,0,0,0,0,-1,0,33,-5,0.136578594725854,"No"
1141,30,"No",3,-73,0,-1,0,-3,-14,-2,-10,-5,0.136562238042583,"No"
104,28,"No",0,0,0,0,0,0,0,0,0,31,0.135240154671268,"No"
3504,11,"No",3,-50,0,0,0,0,0,0,0,14,0.134693531562663,"No"
2653,27,"Yes",0,0,0,0,0,0,0,0,0,31,0.133694098217642,"No"
163,42,"No",36,-4,0,0,0,0,-1,0,-3,27,0.133435385910324,"No"
1893,31,"No",0,-25,0,0,0,0,-1,0,28,11,0.130931167193512,"No"
1492,37,"No",38,-3,0,0,0,0,0,0,21,31,0.130911798538318,"No"
2916,25,"No",0,0,0,0,0,0,0,0,-4,31,0.13069956903398,"No"
1437,38,"No",38,-1,0,0,0,0,0,0,-14,31,0.130528302274043,"No"
2766,17,"Yes",36,-27,0,0,0,0,0,0,-4,31,0.130418656378143,"No"
2108,28,"No",3,3,0,0,0,0,0,0,8,31,0.129873979675953,"No"
3029,24,"No",0,0,0,0,0,0,0,0,-4,31,0.129197665094307,"No"
1987,24,"Yes",0,0,0,0,0,0,0,0,38,31,0.12865013212496,"No"
1582,17,"No",48,-58,2,2,3,3,58,-2,-62,13,0.127765191158813,"No"
1563,18,"Yes",0,0,0,0,0,0,0,0,-517,31,0.126947218132059,"No"
1491,31,"No",28,-2,0,0,0,0,0,0,8,31,0.126462800950145,"No"
3074,23,"No",72,-52,0,0,0,0,-46,0,-3045,0,0.125758445980822,"No"
2657,27,"No",45,-14,0,0,0,0,0,0,-17,31,0.125473092400432,"No"
2148,21,"No",0,0,0,0,0,0,0,0,45,31,0.124160073890889,"No"
3063,20,"No",0,0,0,0,0,0,0,0,-3,31,0.123323865202091,"No"
3044,23,"No",42,-15,0,0,0,0,4,0,4,31,0.122559131678639,"No"
167,43,"No",83,-61,0,0,0,0,8,0,-3,-2,0.122404863406631,"No"
2371,19,"Yes",0,0,0,0,0,0,0,0,-2,31,0.121882408130106,"No"
2074,26,"No",6,6,0,0,0,0,0,0,15,31,0.121831539129178,"No"
2624,27,"Yes",18,2,0,0,0,0,2,0,5,31,0.121735562824887,"No"
3320,11,"No",0,-10,0,0,0,0,0,0,1,31,0.121560494130481,"No"
2444,19,"No",2,0,0,0,0,0,0,0,35,31,0.120384534104434,"No"
138,41,"No",60,0,0,0,0,0,0,0,0,30,0.119986774174302,"No"
1767,17,"No",0,0,0,0,0,0,0,0,0,31,0.119043001514131,"No"
2361,17,"No",0,0,0,0,0,0,0,0,4,31,0.118994314429248,"No"
1538,18,"No",5,-1,0,0,0,0,0,0,0,31,0.118959947238692,"No"
625,16,"No",0,0,0,0,0,0,0,0,0,31,0.117656916812648,"No"
788,16,"No",0,0,0,0,0,0,0,0,0,31,0.117656916812648,"No"
2007,28,"No",34,1,0,0,0,0,0,0,-88,31,0.116941471625792,"No"
958,14,"No",32,-48,0,0,0,0,15,-2,-6,10,0.116509349957362,"No"
2977,23,"No",24,0,0,0,0,0,0,0,-105,31,0.116404375609788,"No"
4301,8,"No",38,-27,0,0,0,0,0,0,1,31,0.11637924852195,"No"
641,15,"No",5,-35,0,0,0,0,-8,0,0,11,0.116151134486052,"No"
4280,7,"Yes",18,-56,0,0,0,0,-6,-1,-58,7,0.115558652141706,"No"
3258,12,"No",196,6,3,3,3,3,71,-1,-12975,0,0.115436959661412,"No"
2592,17,"No",64,-78,0,0,0,0,-25,-2,1469,10,0.115054996805682,"No"
346,14,"No",0,0,0,0,0,0,0,0,0,31,0.114926681285998,"No"
2602,28,"No",42,-34,0,0,0,0,-2,0,-138,10,0.114772747838924,"No"
1494,36,"No",62,-1,0,0,0,0,2,0,49,31,0.114496497902171,"No"
4493,17,"No",7,2,0,0,0,0,8,0,0,31,0.114152957184271,"No"
1977,29,"No",79,-62,0,0,0,0,-15,-2,-55,3,0.114074542403491,"No"
3356,10,"No",0,-27,0,0,0,0,-7,0,0,17,0.113677096157035,"No"
3861,7,"Yes",33,-36,0,0,0,0,-4,-1,-148,22,0.113612156393549,"No"
227,13,"Yes",0,0,0,0,0,0,0,0,-1,31,0.113594033764004,"No"
979,13,"Yes",0,0,0,0,0,0,0,0,-1,31,0.113594033764004,"No"
427,13,"No",0,0,0,0,0,0,0,0,0,31,0.113582345749597,"No"
444,13,"No",0,0,0,0,0,0,0,0,2,31,0.113558972866308,"No"
1262,21,"No",17,-40,0,0,0,0,-3,0,-109,4,0.113504004911413,"No"
1910,30,"No",48,0,0,0,0,0,0,0,-66,31,0.113470972678331,"No"
212,14,"No",0,0,0,0,0,0,0,0,0,30,0.113248694800547,"No"
938,14,"Yes",0,0,0,0,0,0,0,0,0,30,0.113248694800547,"No"
1561,18,"No",38,-11,0,0,0,0,0,0,-15,31,0.113221322530745,"No"
2179,14,"Yes",60,-25,0,0,0,0,0,0,-67,31,0.112263998531156,"No"
317,12,"Yes",0,0,0,0,0,0,0,0,0,31,0.112251740970244,"No"
363,12,"Yes",0,0,0,0,0,0,0,0,0,31,0.112251740970244,"No"
543,12,"Yes",0,0,0,0,0,0,0,0,0,31,0.112251740970244,"No"
3312,12,"Yes",0,0,0,0,0,0,0,0,0,31,0.112251740970244,"No"
4500,12,"Yes",0,0,0,0,0,0,0,0,0,31,0.112251740970244,"No"
1690,18,"No",6,-26,0,0,0,0,-2,0,-225,10,0.111791477096203,"No"
3751,9,"No",15,-10,0,0,0,0,0,0,2,31,0.111280203397364,"No"
3265,11,"No",0,0,0,0,0,0,0,0,-5,31,0.110992031955707,"No"
551,11,"No",0,0,0,0,0,0,0,0,-4,31,0.110980578148454,"No"
3139,11,"No",0,0,0,0,0,0,0,0,0,31,0.110934773263172,"No"
3269,11,"No",0,0,0,0,0,0,0,0,0,31,0.110934773263172,"No"
3542,11,"No",0,0,0,0,0,0,0,0,0,31,0.110934773263172,"No"
3228,12,"Yes",0,0,0,0,0,0,0,0,0,30,0.110607929164624,"No"
